Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
Praktik Penyusunan Keuangan di Gereja (Studi Kasus Pada Gereja Kristen Jawi Wetan Bangkalan),Penulis : Halomoan Hutahayan,Dosen Pembimbing I : Rita Yuliana,Dosen Pembimbing II :Anita Carolina,"ABSTRAKSI


Organisasi laba maupun organisasi nirlaba diharuskan dapat menyusun laporan keuangan sesuai dengan standar akuntansi keuangan yang berlaku. Seperti halnya dengan gereja, sebagai organisasi nirlaba tentunya gereja harus menyusun laporan keuangan untuk transparansi keuangan sehingga kondisis keuangan gereja dan pengelolaan dananya dapat dipertanggungjawabkan pada pihak-pihak yang berkepentingan.

Penelitian ini bertujuan untuk mengetahui apakah kebijakan akuntansi maupun pelaporan keuangan yang diterapkan GKJW Bangkalan sudah sesuai dengan PSAK No. 45 dan menunjukkan bagaimana bentuk laporan keuangan yang diterapkan oleh GKJW Bangkalan.

Dari hasil penelitian ini ditemukan bahwa laporan keuangan GKJW Bangkalan hanya menggunakan laporan keuangan yang sederhana. Tetapi dalam prakteknya, penyusunan laporan keuangan menurut PSAK No.45 belum mampu diterapkan oleh GKJW Bangkalan tentang organisasi nirlaba yaitu tidak adanya laporan posisi keuangan, laporan aktivitas, catatan atas laporan keuangan sehingga penyusunan laporan keuangan dilakukan dengan sederhana. 

Kata kunci: PSAK No.45, Organisasi Nirlaba, Laporan Keuangan
"
Analsis Kesiapan Daerah Menerima Wewenang PBB menjadi Pajak Daerah,Penulis : Imam Agus Faisol,"Dosen Pembimbing I : Dr. Bambang Haryadi, S.E., M.Si., Ak","Dosen Pembimbing II :Gita Arasy Harwida, SE., M.Tax. Ak., QIA",
"Pengaruh Kecenderungan Personal serta Persepsi atas Pemeriksaan, Keadilan, Sistem Administrasi, dan Redistribusi Pendapatan Negara terhadap Tax Evasion",Penulis : Ova Nasukha Santoso,"Dosen Pembimbing I : Junaidi, S.E., M.Si., Ak.","Dosen Pembimbing II :Anita Carolina, S.E., M.Bus.Adv., Ak., QIA., CA.","Pengelakan pajak merupakan suatu hal yang sudah umum saat ini. Setiap orang tentu tidak ingin membayar pajak karena menurutnya hal tersebut dapat mengurangi penghasilan yang diperolehnya. Fenomena ini sangat merugikan negara karena sebagian besar pendapatan negara bersumber dari setoran pajak masyarakat. Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi pengelakan pajak. Penelitian ini dilakukan pada Wajib Pajak Orang Pribadi Pengusaha. Jumlah sampel dalam penelitian ini adalah 106 responden. Penetapan sampel dengan  menggunakan  metode  convenience sampling. Penelitian  ini  menggunakan pendekatan  kuantitatif,  yaitu  penelitian  yang menitikberatkan  pada  pengujian hipotesis. Penelitian dilakukan dengan menggunakan uji kualitas data, uji asumsi klasik, uji-t, dan uji-F. Pengolahan data dengan program SPSS versi 18.0 for Windows. Hasil dari penelitian ini yaitu secara parsial (uji-t), hanya pemeriksaan pajak yang berpengaruh terhadap pengelakan pajak. Sedangkan kecenderungan personal, keadilan pajak, sistem administrasi perpajakan, dan redistribusi pendapatan negara tidak berpengaruh terhadap pengelakan pajak. Secara simultan (uji-F), penelitian ini menunjukkan adanya pengaruh antara variabel independen dengan variabel dependen. Hasil  perhitungan  nilai  koefisien  determinasi  (R2)  adalah  0,105. Nilai  ini menunjukkan  bahwa  10,5%  pengelakan pajak dipengaruhi oleh variabel independen, sedangkan sisanya diketahui sebesar 80,5% dipengaruhi oleh variabel lain di luar penelitian.

Kata kunci:	pengelakan pajak, kecenderungan personal, pemeriksaan pajak, keadilan pajak, sistem administrasi perpajakan, redistribusi pendapatan negara, wajib pajak orang pribadi pengusaha"
REPOSISI DIREKTORAT JENDERAL PAJAK (DJP) PASCA SKANDAL PAJAK,Penulis : JEPRI ERIKSON SITORUS,"Dosen Pembimbing I : Nurul Herawati, S.E., M.Si.,","Dosen Pembimbing II :Rahmat Zuhdi, S.E., MSA., Ak QIA","ABSTRAK 


Jepri Erikson Sitorus, REPOSISI DIREKTORAT JENDERAL PAJAK (DJP) PASCA SKANDAL PAJAK. Dibawah bimbingan ibu Nurul Herawati, S.E., M.Si dan bapak Rahmat Zuhdi, S.E., MSA., Ak.
	Tujuan penelitian ini adalah untuk mengetahui bagamana strategi yang sudah dilakukan oleh Direktorat Jenderal Pajak mengembalikan citranya (mereposisikan) pasca terungkapnya mafia pajak. Penelitian in adalah penelitian  hermeneutik melaui pendekatan kualitatif. Metode yang digunakan dalam penelitian ini adalah metode hermeneutik dengan menafsirkan teks dan melihat kondisi yang terjadi saat ini, teks yang digunakan dalam penelitian ini adalah berupa Surat Edaran Direktorat Jenderal Pajak, Keputusan Menteri Keuangan, Keputusan Direktorat Jenderal Pajak, Siaran pers Direktorat Jenderal Pajak. 
Kesimpulan pada penelitian ini bawah Direktorat Jenderal Pajak melakukan reposisi pasca skandal pajak untuk mendapatkan kepercayaan publik kembali dengan berbasis peningkatan kualitas kinerja. Dalam pereposisian Direktorat Jenderal Pajak melakukan reformasi dengan 2 (dua) strategi yaitu strategi internal maupun eksternal. Strategi internal dengan 4 (empat) lapisan yang berkelanjutan yaitu Learning and Growh Perspective, Internal Proccess Perspective, Costumer Perspective dan Stakeholder Perspective sedangkan strategi eksternalnya terdapat 3 hal fundamental yang sedang dirubah, yaitu : merubah pola pikir masyarakat, menciptakan sense of belonging, program whistleblowing dan melakukan kerjasama.

Kata Kunci : Skandal Pajak, Reposisi, Pengembalian Citra, Merebut Kepercayaan Publik

"
"ANALISA PENENTUAN MARGIN PEMBIAYAAN MURABAHAH PADA PT. BANK PEMBIAYAAN RAKYAT SYARIAH SARANA PAMEKASAN MEMBANGUN
(BPRS SPM) DI PAMEKASAN",Penulis : Selvia Ningsih,Dosen Pembimbing I : Yudhanta Sambharakreshna,Dosen Pembimbing II :Robiatul Auliyah,"Tujuan penelitian ini untuk mendeskripsikan prosedur pembiayaan murabahah dan penentuan margin murabahah Pada PT. Bank Pembiayaan Rakyat Syariah Sarana Pamekasan Membangun di Pamekasan.
Penelitian ini dilakukan secara deskriptif dengan menggunakan metode wawancara dan observasi dan dianalisis berdasarkan fatwa DSN MUI No.04/DSN-MUI/2000 dan margin flat.
Hasil penelitian ini adalah: 1) Prosedur murabahah dalam BPRS SPM sudah sesuai dengan prinsip kehati-hatian dengan mengacu pada fatwa DSN yang terdapat pada poin pertama. Adapun Poin ketiga, poin kelima dan keenam juga mengacu pada fatwa DSN. Namun, poin kedua tidak sesuai dengan fatwa DSN, karena bank tersebut tidak menyediakan barang yang dibutuhkan nasabah. Begitu pula poin keempat juga tidak sesuai dengan fatwa DSN karena terindikasi adanya kredit macet yang merugikan BPRS SPM. 2) Pengambilan margin di BPRS SPM mengacu pada rapat tahunan bank dengan mempertimbangkan margin pesaing dan dihitung menggunakan metode flat. Hal ini sama dengan metode yang ada di konvensional, meskipun secara akad berbeda karena SPM memberitahukan biaya perolehan dan margin yang diinginkan. Untuk menghindari ketidakjelasan (gharar) dan hal yang tidak diperbolehkan syariat.
Kata Kunci: Pembiayaan Murabahah, Margin Murabahah"
Deteksi kecurangan di organisasi sektor publik oleh auditor BPKP perwakilan provinsi Jawa Timur,Penulis : Septian Yuda Pradana,"Dosen Pembimbing I : Dr. Tarjo, S.E, M,Si., CFE","Dosen Pembimbing II :Nurul Kompyurini, SE., M.AK., Ak","       Penelitian ini bertujuan untuk menguji dan menganalisis pengaruh faktor pemicu kecurangan, time pressure, risiko audit dan kemampuan auditor terhadap deteksi kecurangan di organisasi sektor publik. Populasi dalam penelitian ini adalah auditor yang ada di BPKP perawakilan provinsi Jawa Timur. Teknik pengambilan sampel yang digunakan adalah purposive sampling. Jumlah sampel yang memenuhi kriteria penelitian ini sebanyak 78 sampel. 
       Hasil penelitian ini mengungkapkan bahwa pertama, faktor pemicu kecurangan berpengaruh signifikan terhadap deteksi kecurangan di organisasi sektor publik. Kedua, time pressure tidak berpengaruh signifikan terhadap deteksi kecurangan di organisasi sektor publik. Ketiga, risiko audit berpengaruh signifikan terhadap deteksi kecurangan di organisasi sektor publik. Keempat, kemampuan auditor berpengaruh signifikan terhadap deteksi kecurangan di organisasi sektor publik.

Kata Kunci : faktor pemicu kecurangan, time pressure, risiko audit, kemampuan auditor dan deteksi kecurangan di organisasi sektor publik.
"
"IMPLEMENTASI WADIAH PADA BANK SYARIAH MANDIRI CABANG 
BANGKALAN",Penulis : MOHAMMAD ANWARI,"Dosen Pembimbing I : Robiatul Auliyah, S.E., M.SA ","Dosen Pembimbing II :Anis Wulandari, S.E., MSA., Ak ","ABSTRAK 
Mohammad  Anwari,  NIM  08.02.2.1.1.00120,  âImplementasi  Wadiah  pada 
Bank  Syariah  Mandiri  cabang  Bangkalanâ.  Dibawah  bimbingan  Robiatul 
Auliyah, S.E., M.SA dan Anis Wulandari, S.E., MSA., Ak.  
Tujuan  dari  penelitian  ini  adalah  untuk  mengetahui  implementasi 
wadiah      pada      bank      Syariah      Mandiri      cabang      Bangkalan      serta 
diimplementasikannya  tersebut  apakah  sudah  sesuai  dengan  syariah  Islam 
atau tidak.  
Penelitian    ini    dilakukan    secara    kualitatif    dengan    pendekatan 
deskriptif.  Pengumpulan  data  pada  penelitian  ini  melalui  wawancara  dan 
dokumentasi   serta   dianalisis   dengan   menggunakan   model   Miles   and 
Huberman. Dengan menggunakan alat analisis Fatwa DSN tentang tabungan 
dan giro, Al-qurâan dan Hadist Nabi. 
Hasil  dari  penelitian  ini  menunjukkan  bahwa  Implementasi  wadiah 
pada  Bank  Syariah  Mandiri  cabang  Bangkalan  sudah  sesuai  dengan  syariah 
Islam.   implementasi   giro   wadiah,   tabungan   wadiah,   prosedur   dalam 
pembuatan  rekening  wadiah,  pemberian  bonus  dan  penyaluran  dana  pada 
Bank  Syariah  Mandiri  cabang  Bangkalan  sudah  sesuai  dengan  fatwa  Dewan 
Syariah Nasional MUI, Al-qurâan dan hadist Nabi. 
Kata Kunci : Implementasi Wadiah, Syariah Islam. "
ANALISA MINAT MAHASISWA PROGRAM STUDI AKUNTANSI DI UNIVERSITAS TRUNOJOYO MADURA DALAM MENENTUKAN PROFESI SEBAGAI PRAKTISI .,Penulis : sudarmono,"Dosen Pembimbing I : Nurhayati, S.E., M.SA., Ak.,QIA ","Dosen Pembimbing II :Erfan Muhammad.,S.E.,M.Ak,Ak.,CPA","Analisa Minat Mahasiswa Program Studi Akuntansi Di Universitas Trunojoyo Madura Dalam Menentukan Profesi Sebagai Praktisi. Tujuan    penelitian  ini  adalah  untuk  mengetahui minat  mahasiswa program studi akuntansi di Universitas Trunojoyo Madura dalam menentukan profesi sebagai praktisi. Variabel dalam penelitian ini adalah Motivasi Karir, Motivasi Sosial, Motivasi Prestasi, Motivasi Ekonomi, Motivasi Kualitas, Motivasi Peningkatan Diri. Sedangkan responden yang digunakan dalam penelitian ini adalah mahasiswa akuntansi semester delapan dengan asumsi mahasiswa semester delapan sudah menempuh seluruh mata kuliah dan sudah mempunyai rencana (minat) pasca kelulusan dari UTM. Jumlah responden yang diambil dalam penelitian ini sebanyak 85 responden mahasiswa angkatan 2008. Data yang digunakan merupakan data primer yang diperoleh melalui penyebaran kuesioner. Pengolahan data dilakukan dengan menggunakan regresi linear berganda. Nilai koefisien determinasi Adjust R square 45,1% atau 0,451 Dan sisanya 54,9% Minat mahasiswa KAP dipengaruhi oleh variabel lain di luar variabel-variabel dependen yang digunakan dalam penelitian ini.
Berdasarkan hasil penelitian dengan menggunakan uji statistik secara simultan, menunjukkan bahwa semua variabel bebas berpengaruh secara signifikan terhadap variabel terikat. Sedangkan hasil uji secara parsial, menunjukkan bahwa variabel bebas yang berpengaruh yaitu Motivasi Karir, Motivasi Sosial, Motivasi Prestasi, Motivasi Kualitas, Motivasi Peningkatan Diri dan variabel yang tidak berpengaruh adalah Motivasi Ekonomi.
Kata Kunci : Motivasi Karir, Motivasi Sosial, Motivasi Prestasi, Motivasi Ekonomi, Motivasi Kualitas, Motivasi Peningkatan Diri, minat sebagai praktisi, dan mahasiswa akuntansi.
"
"ANALISIS HUBUNGAN EKSEKUTIF DAN LEGISLATIF TERHADAP KETERLAMBATAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH (STUDI KASUS PADA PEMERINTAH DAERAH KABUPATEN X)
",Penulis : Ach. Helmi Hasan,"Dosen Pembimbing I : Dr. Bambang Haryadi, S.E., M.Si., Ak","Dosen Pembimbing II :Yuni Rimawati, S.E., M.S.Ak., Ak","Ach. Helmi Hasan, Analisis Hubungan Eksekutif dan Legislatif Terhadap Keterlambatan Anggaran Pendapatan dan Belanja Daerah (Studi Kasus Pada Pemerintah Daerah Kabupaten X). Dibawah bimbingan Dr. Bambang Haryadi, S.E., M.Si., Ak dan Yuni Rimawati, S.E, M.S.Ak., Ak.

Tujuan penelitian ini adalah untuk mengetahui pengaruh hubungan eksekutif dan legislatif terhadap keterlambatan APBD. Pendekatan yang dilakukan dalam penelitian menggunakan pendekatan kualitatif dengan jenis studi kasus. Teknik pengumpulan data menggunakan metode wawancara tak terstruktur serta analisis data dilakukan secara deskriptif naratif.
Hasil penelitian membuktikan bahwa: (1) keterlambatan APBD kabupaten X disebabkan karena terlambatnya penyusunan APBD yang dilakukan oleh eksekutif sehingga menyebabkan terlambatnya pengajuan APBD kepada legislatif, (2) komunikasi dan kerja sama yang terjalin antara eksekutif dan legislatif dalam proses pembahasan rancangan KUA dan PPAS serta rancangan APBD di dominasi oleh kepentingan politik. Adanya perbedaan kepentingan politik berdampak pada lamanya proses pembahasan sehingga menyebabkan terlambatnya pengesahan KUA dan PPA serta APBD, (3) APBD dijadikan sebagai suatu ajang tawar menawar kepentingan eksekutif dan legislatif untuk kepentingan pribadi atau kelompoknya (partai politik) yang dilakukan dengan memanfaatkan wewenang yang dimiliki kedua lembaga tersebut. 


Kata Kunci:  Penyusunan APBD, pembahasan APBD, pengesahan APBD, eksekutif,  legislatif
"
"PENGARUH KUALITAS PELAYANAN KPP TERHADAP KEPUASAN WAJIB PAJAK ORANG PRIBADI 
(Studi Wajib Pajak Orang Pribadi di Lingkup KPP Pratama Pamekasan dan KPP Pratama Bangkalan)
",Penulis : Kamariyah,Dosen Pembimbing I : Nurul Kompyurini,Dosen Pembimbing II :Citra Nurhayati,"Pelayanan publik merupakan fungsi penting yang harus dilaksanakan oleh pemerintah, karena melalui pelayanan publik yang prima dan maksimal maka bisa menciptakan hubungan yang harmonis antara pemerintah dan masyarakat. Namun pada praktiknya banyak lembaga pemerintah yang tidak melaksanakan pelayanan publik dengan baik. Tujuan dari penelitian ini adalah untuk mengetahui pengaruh secara parsial dan simultan dimensi kualitas pelayanan (kehandalan, ketanggapan, jaminan, empati, dan wujud fisik) terhadap kepuasan wajib pajak orang pribadi di lingkup kerja KPP Pratama Pamekasan dan Bangkalan. Di samping itu, penelitian ini juga ingin mengetahui perbedaan dimensi kualitas pelayanan dan perbedaan kepuasan wajib pajak orang pribadi di lingkup kerja KPP Pratama Pamekasan dengan Bangkalan. Penelitian ini menggunakan pendekatan kuantitatif dengan teknik analisis regresi berganda yang meliputi uji F dan uji t serta uji beda independent sample t-test. Tekhnik penarikan sampel menggunakan rumus slovin dan proporsional random sampling. Kesimpulan dari penelitian ini menunjukkan secara simultan dan parsial dimensi kualitas pelayanan berpengaruh signifikan terhadap kepuasan wajib pajak orang pribadi. Untuk uji beda yang menunjukkan adanya perbedaan hanya dimensi bukti fisik, sedangkan keempat dimensi yang lain dan kepuasan wajib pajak orang pribadi tidak menunjukkan adanya perbedaan antara di lingkup kerja KPP Pratama Pamekasan dengan Bangkalan.
Kata Kunci: Kualitas Pelayanan, Kepuasan Wajib Pajak Orang Pribadi
"
"PENGARUH PAD, DAU, DAN OPINI AUDIT TERHADAP BELANJA DAERAH (STUDI PADA KABUPATEN / KOTA DI SUMATERA-JAWA)",Penulis : Eti Fuji Setyowati,"Dosen Pembimbing I : Fariyana Kusumawati, SE., M.Si","Dosen Pembimbing II :Rahmat Zuhdi, SE., MSA., Ak., QIA","Penelitian ini bertujuan untuk mengetahui pengaruh Pendapatan Asli Daerah (PAD), Dana Alokasi Umum (DAU) dan Opini Audit terhadap Belanja Daerah. Variabel bebas terdiri dari PAD, DAU, dan opini audit, sedangkan variabel terikat adalah belanja daerah. Opini audit tersebut merupakan variabel dummy. Penelitian ini menggunakan sampel 165 kabupaten/kota di Sumatera-Jawa tahun 2010 hingga 2011. Pendekatan penelitian adalah kuantitatif. Teknik analisis data yang digunakan adalah analisis regresi linier berganda. Pengolahan data dengan program SPSS versi 16.0. Berdasarkan hasil analisis data diperoleh kesimpulan bahwa PAD tahun berjalan berpengaruh signifikan terhadap belanja daerah tahun berjalan, DAU tahun berjalan berpengaruh signifikan terhadap belanja daerah tahun berjalan, PAD tahun lalu berpengaruh signifikan terhadap belanja daerah tahun berjalan, DAU tahun lalu berpengaruh signifikan terhadap belanja daerah tahun berjalan, opini audit WTP tahun lalu tidak berpengaruh signifikan terhadap belanja daerah tahun berjalan, opini audit TMP tahun lalu tidak berpengaruh signifikan terhadap belanja daerah tahun berjalan. Serta PAD, DAU, opini audit WTP dan opini audit TMP tahun lalu secara bersama-sama berpengaruh signifikan terhadap belanja daerah tahun berjalan.


Kata Kunci : pendapatan asli daerah, dana alokasi umum, opini audit, belanja daerah.
"
"PENGARUH PROFESIONALISME FISKUS, KEPUASAN KERJA DAN KOMITMEN ORGANISASI TERHADAP KINERJA FISKUS
(STUDI DI KANTOR PELAYANAN PAJAK PRATAMA BANGKALAN)
",Penulis : Mufarrohatu Walidaini,Dosen Pembimbing I : Nurul Kompyurini,Dosen Pembimbing II :Gita Arasy Harwida,"Mufarrohatu Walidaini, Pengaruh Profesionalisme Fiskus, Kepuasan Kerja, dan Komitmen Organisasi terhadap Kinerja Fiskus (Studi di Kantor Pelayanan Pajak Pratama Bangkalan). Dibawah bimbingan Nurul Kompyurini, S.E., M.Ak., Ak dan Gita Arasy Harwida, S.E., Mtax., Ak., QIA.
Tujuan penelitian ini adalah untuk mengetahui pengaruh profesionalisme Fiskus terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan, untuk mengetahui pengaruh kepuasan kerja terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan, dan untuk mengetahui pengaruh komitmen organisasi terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan. 
Metode dalam penelitian ini menggunakan metode kuantitatif karena menggunakan data berupa angka dan mengembangkan hipotesis. Teknik pengambilan sampel dalam penelitian ini menggunakan teknik sampling jenuh (sensus), yaitu menggunakan seluruh populasi menjadi sampel, dan dianalisis menggunakan regresi linier berganda.
 Hasil analisis menunjukkan bahwa profesionalisme Fiskus berpengaruh signifikan terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan, kepuasan kerja berpengaruh signifikan terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan, dan komitmen organisasi berpengaruh signifikan terhadap kinerja Fiskus di Kantor Pelayanan Pajak Pratama Bangkalan.
	Hal ini membuktikan bahwa untuk meningkatkan kinerja Fiskus perlu memperhatikan faktor-faktor seperti profesionalisme Fiskus, kepuasan kerja, dan komitmen organisasi. Karena faktor-faktor tersebut dapat mempengaruhi tinggi rendahnya kinerja Fiskus.
Kata kunci: profesionalisme Fiskus, kepuasan kerja, komitmen organisasi, dan kinerja Fiskus
"
"APAKAH SOSIALISASI PERPAJAKAN, SANKSI PAJAK, DAN KEADILAN PAJAK BERPENGARUH TERHADAP KEPATUHAN WAJIB PAJAK ORANG PRIBADI? ",Penulis : Meidyanti Syawlina Putri,Dosen Pembimbing I : Nurul Herawati,Dosen Pembimbing II :Emi Rahmawati,"ABSTRAK
Penelitian ini bertujuan untuk menguji pengaruh masing-masing variabel yang digunakan dalam penelitian ini yaitu sosialisasi perpajakan, sanksi pajak dan keadilan pajak terhadap kepatuhan Wajib Pajak Orang Pribadi. Penelitian ini menggunakan data primer yang diperoleh dari penyebaran kuisioner serta data sekunder yang diperoleh dari buku, jurnal maupun artikel terkait dengan penelitian. Responden penelitian ini adalah Wajib Pajak Orang Pribadi di Kantor Pelayanan Pajak Pratama Bangkalan yang berjumlah 100 orang.  Tekhnik pengambilan sampel yang digunakan adalah simple random sampling. Analisis statistik yang digunakan adalah regresi linier berganda. Berdasarkan hasil analisis data, disimpulkan bahwa sosialisasi perpajakan berpengaruh terhadap kepatuhan Wajib Pajak Orang Pribadi di KPP Pratama Bangkalan. Hasil temuan ini mendukung penelitian Witono (2008: 197). Temuan yang kedua adalah sanksi pajak berpengaruh terhadap kepatuhan Wajib Pajak di Kantor Pelayanan Pajak Pratama Bangkalan. Temuan ini mendukung hasil penelitian Hendarsyah (2009). Temuan ketiga adalah keadilan pajak berpengaruh terhadap kepatuhan Wajib Pajak di Kantor Pelayanan Pajak Pratama Bangkalan. Temuan ini mendukung pernyataan Tuasamu (2010: 1) yang menyatakan bahwa faktor lain yang mempengaruhi kepatuhan Wajib Pajak dalam membayar pajak adalah Wajib Pajak sering merasakan ketidak-adilan karena kurang merasakan manfaat yang diperoleh dari negara.

Key words: sosialisasi perpajakan, sanksi pajak, keadilan pajak, kepatuhan pajak, wajib pajak orang pribadi

"
"POTENSI DAN PENGARUH VARIABEL - VARIABEL
PENERIMAAN PAJAK PENERANGAN JALAN
DI KABUPATEN SAMPANG",Penulis : Uswatun Hasanah,Dosen Pembimbing I : Nurul Kompyurini,Dosen Pembimbing II :Emi Rahmawati,"Tujuan penelitian ini adalah untuk mengetahui seberapa besar Potensi Penerimaan Pajak Penerangan Jalan di Kabupaten Sampang, dan apakah sudah sesuai dengan realisasi yang disetorkan kepada Dinas Pendapatan Pengelolaan Kekayaan dan Aset (DPPKA). Penelitian ini menggunakan data sekunder periode 2011-2012. Metode analisis yang digunakan dalam penelitian ini adalah pendekatan kuantitatif deskriptif.
Hasil penelitian dari perhitungan potensi bisa terlihat bahwa realisasi penerimaan pajak penerangan jalan selama dua tahun yaitu dari tahun 2011-2012 hasil realisasi pajak penerangan jalan yang disetorkan kepada Dinas Pendapatan Pengelolaan Kekayaan dan Aset (DPPKA) tidak sesuai dengan potensi riil penerimaan pajak penerangan jalan. Pada tahun 2011 terdapat selisih sebesar Rp. 754.838.463 sedangkan pada tahun 2012 terdapat selisih sebesar Rp. 211.628.817 hanya sampai pada bulan oktober. Hasil penelitian ini menunjukkan bahwa secara bersama-sama (F-test) variabel jumlah pelanggan, pemakaian listrik, dan daya yang dikonsumsi dari tagihan rekening listrik pelanggan reguler berpengaruh signifikan terhadap penerimaan pajak penerangan jalan di Kabupaten Sampang. Pengujian koefisien regresi/uji (t-test) menunjukkan bahwa jumlah pelanggan berpengaruh terhadap penerimaan pajak penerangan jalan tetapi pemakaian listrik dan daya yang dikonsumsi tidak berpengaruh terhadap penerimaan pajak penerangan jalan.
Kata kunci : Realisasi Penerimaan PPJ, Potensi Penerimaan PPJ, Analisis Regresi Linear, Jumlah Pelanggan, Pemakaian Listrik, Daya yang dikonsumsi."
"Pengaruh Pengetahuan Mahasiswa Tentang Perbankan Syariâah Terhadap Minat Menabung Mahasiswa
Di Perbankan Syariâah",Penulis : Syaiful Ghulam,Dosen Pembimbing I : Yudhanta Sambharakreshna,Dosen Pembimbing II :Emi Rahmawati,"Pengetahuan diperlukan sebagai dukungan dalam menumbuhkan rasa percaya diri maupun sikap dan prilaku setiap hari, sehingga dapat dikatakan bahwa pengetahuan merupakan fakta yang mendukung tindakan seseorang. Universitas Trunojoyo Madura dan STAIN Pamekasan terdapat program studi yang mempelajari tentang Perbankan Syariâah. Tujuan dari penelitian ini adalah untuk mengetahui apa pengaruh pengetahuan Mahasiswa tentang perbankan Syariah terhadap minat menabung Mahasiswa di Perbankan Syariâah dengan menggunakan Uji Regresi Linier Sederhana dan Uji T. Uji Regresi Linier Sederhana digunakan untuk mengetahui pengaruh pengetahuan Mahasiswa tentang Perbankan Syariâah terhadap minat menabung Mahasiswa di Perbankan Syariâah, dan Uji T digunakan untuk menguji keberartian koefisien regresi secara parsial. Dari penelitian ini diperoleh hasil pengetahuan Mahasiswa tentang Perbankan Syariâah terjadi hubungan positif dan berpengaruh secara signifikan terhadap minat menabung Mahasiswa di Perbankan Syariâah.
Kata kunci: Pengetahuan Mahasiswa, Minat Menabung, Perbankan Syariâah"
"PENGARUH KOMPETENSI DOSEN, MEDIA PEMBELAJARAN, DAN 
ASISTENSI TERHADAP PRESTASI BELAJAR MAHASISWA 
(Studi pada Mahasiswa Fakultas Ekonomi  
Universitas Trunojoyo Madura) ",Penulis : FIRMAN BUDI SANTOSO ,"Dosen Pembimbing I : Junaidi, S.E. M.Si., Ak ","Dosen Pembimbing II :Fitri Ahmad Kurniawan, S.E., M.Ak., Ak","Penelitian  ini  bertujuan  untuk  mengetahui  apakah  kompetensi  dosen, 
media pembelajaran dan asistensi berpengaruh signifikan terhadap prestasi 
belajar  mahasiswa  secara  parsial  dan  simultan.  Penelitian  ini  menggunakan 
metode  kuantitatif,  dimana  jenis  data  yang  digunakan  adalah  data  primer 
dalam bentuk pernyataan kuesioner yang diperoleh jawaban dari responden 
terhadap serangkaian pernyataan yang diajukan oleh peneliti dengan sampel 
73  mahasiswa  Fakultas  Ekonomi  Universitas  Trunojoyo  Madura.  Analisis 
terhadap  data-data  yang  diperoleh  dilakukan  dengan  menggunakan  analisis 
regresi linier berganda dan uji f dan uji t. 
Berdasarkan    penelitian    yang    telah    dilakukan,    maka    diperoleh 
pembuktian     bahwa     secara     parsial     kompetensi     dosen     dan     media 
pembelajaran  berpengaruh  dan  tidak  signifikan  terhadap  prestasi  belajar 
mahasiswa   dan   asistensi   tidak   berpengaruh   secara   signifikan   terhadap 
prestasi  belajar  mahasiswa.  Selain  itu,  secara  simultan  kompetensi  dosen, 
media  pembelajaran  dan  asistensi  berpengaruh  positif  dan  tidak  signifikan 
terhadap prestasi belajar mahasiswa. 
 
Kata kunci  :  Kompetensi Dosen,  Media  Pembelajaran,  Asistensi  dan  Prestasi 
Belajar Mahasiswa. "
